Artist,Genre
dropkick murphys,punk rock
drowning pool,metal
drugs,Black Rock
durry,punk
dust in mind,Melodic Death Metal
dylan,darkstep
emf,pop
erra,metalcore
etno,Romanian
eagles,rock
eagles of death metal,Stoner Rock
"earth, wind & fire",soul
eddy grant,80s
edith piaf,female vocalist
ego kill talent,brazil
egypt central,alternative metal
elle king,rock
elvis presley,classic rock
elyose,industrial metal
eminem,Hip-Hop
emmercia,hardcore
ennio morricone,instrumental
escape the fate,screamo
eskimo callboy,trancecore
europe,rock
evanescence,Gothic Rock
evans blue,rock
evarose,female vocalist
every time i die,metalcore
exodus,metal
extreme,rock
fever 333,post-hardcore
fpg,russian
fabulous bandits,country
face to face,punk
fall out boy,rock
fallcie,Female fronted metal
falling in reverse,screamo
false heads,punk rock
fantastic negrito,soul
far from alaska,rock
felicity,hard rock
fenix tx,punk rock
fergie,rnb
fidlar,Lo-Fi
filter,alternative rock
finger eleven,rock
finley,pop punk
fire from the gods,deathcore
fireflight,rock
fistt,punk rock
fit for rivals,rock
fitz and the tantrums,pop
five finger death punch,groove metal
flamenco,heavy metal
flaw,alternative metal
flyleaf,female vocalist
foals,math rock
focus,classic rock
foo fighters,alternative rock
footloose,musical
forfun,hardcore
fozzy,hard rock
framing hanley,rock
franz ferdinand,indie rock
fresno,emo
from ashes to new,alternative metal
fuel,alternative rock
fugazi,punk
fun.,indie
funkadelic,soul
furia inc.,thrash metal
